angle,    6,    8,   10,   12,   14,   16,   20
44,    2.99, 3.59, 4.03, 4.40, 4.61, 4.72, 4.78
52,    4.64, 5.48, 6.18, 6.60, 6.80, 6.89, 6.94
60,    4.95, 5.83, 6.50, 6.83, 7.02, 7.11, 7.17
75,    5.22, 6.15, 6.72, 7.02, 7.22, 7.39, 7.58
90,    5.18, 6.12, 6.77, 7.00, 7.22, 7.42, 7.80
110,   5.11, 6.17, 6.82, 7.17, 7.47, 7.69, 7.93
120,   4.94, 5.98, 6.71, 7.09, 7.39, 7.70, 8.15
135,   4.45, 5.41, 6.30, 6.84, 7.16, 7.45, 8.09
150,   3.74, 4.74, 5.60, 6.37, 6.85, 7.16, 7.75
180,   3.24, 4.11, 4.88, 5.64, 6.32, 6.80, 7.40